# Updated 01/12/18 10:39 by TerminatorVN 1.0.0-Special
# victim name | ban date | banned by | banned until | reason

171.249.219.22|2017-12-25 09:33:32 +0700|ENDER_BOY___VN__|Forever|kfkdkdk 100
183.80.192.45|2017-12-25 20:14:28 +0700|MiMi08642|Forever|Banned by an operator.
1.54.242.58|2017-12-25 20:14:59 +0700|Night_EnderVN|Forever|Banned by an operator.
42.116.116.164|2017-12-26 18:49:25 +0700|ngu768|Forever|Banned by an operator.
113.174.14.132|2017-12-28 17:16:13 +0700|Tuankiet6666|Forever|Banned by an operator.
171.251.8.128|2017-12-28 17:39:26 +0700|ThanhTuan3|Forever|Banned by an operator.
14.234.147.158|2017-12-28 18:15:44 +0700|Night_EnderVN|Forever|Banned by an operator.
116.100.80.20|2017-12-29 09:16:29 +0700|ThanhTuan3|Forever|Banned by an operator.
171.255.157.139|2017-12-29 13:20:08 +0700|CONSOLE|Forever|Banned by an operator.
14.185.125.154|2017-12-30 19:37:56 +0700|CONSOLE|Forever|Banned by an operator.
27.2.118.217|2018-01-03 19:06:54 +0700|Night_EnderVN|Forever|Banned by an operator.
14.233.26.96|2018-01-05 20:58:28 +0700|Duclanhlung|Forever|đụ má mày ăn ban-ip liền =)
42.112.80.195|2018-01-06 13:22:04 +0700|Tuankiet6666|Forever|Banned by an operator.
113.188.188.26|2018-01-11 16:18:59 +0700||Forever|Banned by an operator.
1.55.181.217|2018-01-12 09:25:19 +0700|ThanhTuan3|Forever|Banned by an operator.
116.108.161.41|2018-01-12 10:39:13 +0700|ThanhTuan3|Forever|cút
